City_ID,city,country,max temp,Weather description,lat,lng,Hotel Name
349,Sao Filipe,CV,73.78,few clouds,14.8961,-24.4956,Hotel Xaguate
351,Dabola,GN,72.86,light rain,10.75,-11.1167,Hotel Tinkisso
356,Lerwick,GB,53.6,scattered clouds,60.1545,-1.1494,The Lerwick Hotel
357,Mayumba,GA,69.98,few clouds,-3.432,10.6554,LIKWALE LODGE
358,Sampit,ID,73.94,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
359,Moyale,KE,73.94,overcast clouds,3.5167,39.0584,La Tahzan Guest House
360,Usinsk,RU,53.74,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
362,Senanga,ZM,54.14,broken clouds,-16.1167,23.2667,Zango lodge
364,Lata,PT,64.81,broken clouds,40.1629,-8.3327,Casa Maquia
371,Khani,GE,60.37,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
375,Tigre,AR,70.25,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
380,Pisco,PE,63.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
381,Kuytun,RU,54.07,clear sky,54.3419,101.5036,Gostinitsa Tsentral'naya
384,Liwale,TZ,65.82,broken clouds,-9.7667,37.9333,Samoma lodge
386,Durazno,UY,64.13,clear sky,-33.4131,-56.5006,Hotel Santa Cristina
390,Cidreira,BR,60.12,clear sky,-30.1811,-50.2056,Hotel Castelo
392,Chelmno,PL,68.23,broken clouds,53.3485,18.4251,Apartament CCH
394,Fairbanks,US,71.56,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
396,Eureka,US,72.12,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
397,Kununurra,AU,58.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
